,id,artist,title,year,month,week,totalweeksincharts,total2018weeksincharts,total2019weeksincharts,total2020weeksincharts,lang,genres,genre,release
223,224,Gzuz feat. Trettmann,Nur mit den Echten,2018,6,22,3,3,0,0,de,"['deep german hip hop', 'german hip hop', 'hamburg hip hop']",deep german hip hop,2018-05-25
224,225,Dardan und Nimo,Piccos,2018,6,22,4,4,0,0,de,"['albanian hip hop', 'german hip hop']",albanian hip hop,2018-05-25
225,226,Gzuz,Halftime,2018,6,22,2,2,0,0,de,"['deep german hip hop', 'german hip hop', 'hamburg hip hop']",deep german hip hop,2018-05-25
226,227,Gzuz,Niemals satt,2018,6,22,2,2,0,0,de,"['deep german hip hop', 'german hip hop', 'hamburg hip hop']",deep german hip hop,2018-05-25
227,228,Gzuz,Träume,2018,6,22,1,1,0,0,de,"['deep german hip hop', 'german hip hop', 'hamburg hip hop']",deep german hip hop,2018-05-25
228,229,Nicky Jam feat. Will Smith & Era Istrefi,Live It Up,2018,6,22,10,10,0,0,en,"['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']",latin,2018-05-25
229,230,Gzuz,Bis dass der Tod uns scheidet,2018,6,22,1,1,0,0,de,"['deep german hip hop', 'german hip hop', 'hamburg hip hop']",deep german hip hop,2018-05-25
230,231,Gzuz,Neuer Tag neues Drama,2018,6,22,1,1,0,0,de,"['deep german hip hop', 'german hip hop', 'hamburg hip hop']",deep german hip hop,2018-05-25
231,232,Gzuz,Diskutieren?!,2018,6,22,1,1,0,0,de,"['deep german hip hop', 'german hip hop', 'hamburg hip hop']",deep german hip hop,2018-05-25
232,233,A$AP Rocky feat. Skepta,Praise The Lord (Da Shine),2018,6,22,11,11,0,0,en,"['east coast hip hop', 'hip hop', 'rap', 'trap', 'underground hip hop']",east coast hip hop,2018-05-25
233,234,LEA,Zu dir,2018,6,22,21,21,0,0,de,['german pop'],german pop,2018-12-07
234,235,Shawn Mendes,Nervous,2018,6,22,1,1,0,0,en,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",canadian pop,2018-05-25
235,236,Jonas Blue feat. Jack & Jack,Rise,2018,6,22,35,30,5,0,en,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",dance pop,2018-05-25
236,237,Loud Luxury feat. Brando,Body,2018,6,22,57,31,26,0,en,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",dance pop,2017-10-27
237,238,Rin,Avirex,2018,6,23,7,7,0,0,de,"['german cloud rap', 'german hip hop']",german cloud rap,2018-08-17
